,YEAR,AREA,PROD.,YIELD
0,1990/91,29610,27840,940
1,1991/92,29660,27640,932
2,1992/93,29680,27610,930
3,1993/94,37385,35157,940
4,1994/95,39096,37108,949
5,1995/96,39400,41340,1049
6,1996/97,35280,36690,1040
7,1997/98,35590,37150,1044
8,1998/99,31843,31798,999
9,1999/00,28196,30817,1093
10,2000/01,28194,30488,1081
11,2001/02,27722,30790,1111
12,2002/03,27555,31711,1151
13,2003/04,27467,28151,1091
14,2004/05,26428,29341,1110
15,2005/06,26227,27786,1059
16,2006/07,26580,28293,1064
17,2007/08,26106,28082,1076
18,2008/09,25817,23224,900
19,2009/10,26600,27587,1037
20,2010/11,28461,30240,1063
21,2011/12,27966,34830,1245
22,2012/13,28989,36973,1275
23,2013/14,28173,34824,1236
24,2014/15,28053,37354,1332
25,2015/16,28361,32801,1157
