,YEAR,AREA,PROD.,YIELD
0,1990/91,592740,835970,1410
1,1991/92,571260,761960,1334
2,1992/93,613980,765000,1246
3,1993/94,611309,898892,1470
4,1994/95,624329,941680,1508
5,1995/96,653500,1012930,1550
6,1996/97,667120,1071970,1607
7,1997/98,640030,1030320,1610
8,1998/99,640802,1086470,1695
9,1999/00,660040,1183530,1793
10,2000/01,641030,1157865,1806
11,2001/02,667077,1258045,1886
12,2002/03,669014,1344192,2009
13,2003/04,664589,1387191,2087
14,2004/05,675807,1442442,2134
15,2005/06,672040,1394126,2074
16,2006/07,702664,1515139,2156
17,2007/08,706481,1572065,2225
18,2008/09,694950,1343862,1934
19,2009/10,731131,1556539,2129
20,2010/11,767499,1745811,2275
21,2011/12,765317,1846142,2412
22,2012/13,759843,1882220,2477
23,2013/14,754474,1883147,2496
24,2014/15,762373,1975625,2591
25,2015/16,745823,1736849,2329
