,YEAR,AREA,PROD.,YIELD
0,1990/91,757710,1230950,1625
1,1991/92,754090,1204710,1598
2,1992/93,775220,1290500,1665
3,1993/94,754099,1253830,1663
4,1994/95,771410,1302116,1688
5,1995/96,791700,1331060,1681
6,1996/97,793720,1316840,1659
7,1997/98,799060,1367340,1711
8,1998/99,802290,1345910,1678
9,1999/00,819010,1445450,1765
10,2000/01,824525,1484112,1800
11,2001/02,825980,1510770,1829
12,2002/03,836190,1569140,1877
13,2003/04,834285,1590097,1906
14,2004/05,849892,1716042,2019
15,2005/06,850947,1734417,2038
16,2006/07,870401,1819925,2091
17,2007/08,870166,1878648,2159
18,2008/09,875428,1930669,2205
19,2009/10,875660,1855184,2119
20,2010/11,906253,2067522,2281
21,2011/12,871387,2179414,2501
22,2012/13,849635,1999010,2353
23,2013/14,928761,2283222,2458
24,2014/15,882395,2145291,2431
25,2015/16,891583,2231517,2503
