,YEAR,AREA,PROD.,YIELD
0,1990/91,198570,231630,1166
1,1991/92,198240,228660,1153
2,1992/93,201770,236750,1173
3,1993/94,225207,245957,1092
4,1994/95,228061,252843,1109
5,1995/96,260090,282440,1086
6,1996/97,259940,289480,1114
7,1997/98,262440,285120,1086
8,1998/99,263950,291370,1104
9,1999/00,263450,295380,1121
10,2000/01,259888,282852,1088
11,2001/02,258120,282570,1095
12,2002/03,259130,282860,1092
13,2003/04,258597,283378,1096
14,2004/05,258839,289838,1120
15,2005/06,261673,290936,1112
16,2006/07,265160,284813,1074
17,2007/08,265496,291098,1096
18,2008/09,265889,292683,1101
19,2009/10,268473,299523,1116
20,2010/11,269820,302691,1122
21,2011/12,278030,315067,1133
22,2012/13,274350,305588,1114
23,2013/14,271183,304105,1121
24,2014/15,268050,308488,1151
25,2015/16,266799,302397,1133
