,YEAR,AREA,PROD.,YIELD
0,1990/91,1455170,3502160,2407
1,1991/92,1411810,3222540,2283
2,1992/93,1262110,2584900,2048
3,1993/94,1450449,3495589,2410
4,1994/95,1368423,2906184,2124
5,1995/96,1496790,3578830,2391
6,1996/97,1511230,3710650,2455
7,1997/98,1506340,3640860,2417
8,1998/99,1514210,3709770,2450
9,1999/00,1550990,4030100,2598
10,2000/01,1560044,4216465,2703
11,2001/02,1516980,4164687,2745
12,2002/03,1544660,4132500,2675
13,2003/04,1559436,4455722,2857
14,2004/05,1541729,4289827,2782
15,2005/06,1549447,4209279,2717
16,2006/07,1439525,3680838,2557
17,2007/08,1549262,4299246,2775
18,2008/09,1555940,4523693,2907
19,2009/10,1481289,4023823,2716
20,2010/11,1496476,4460278,2981
21,2011/12,1531493,5072248,3312
22,2012/13,1420570,4504503,3171
23,2013/14,1486951,5047047,3394
24,2014/15,1425346,4788612,3360
25,2015/16,1362908,4299079,3154
