Country,Percentage
Germany,18.89
USA,16.67
Pakistan,11.11
Canada,7.78
Russia,5.56
Malaysia,4.44
France,3.33
Japan,3.33
United Kingdom,3.33
Australia,2.22
Denmark,2.22
Europe,2.22
Italy,2.22
Mexico,2.22
The Netherlands,2.22
Thailand,2.22
UAE,2.22
Austria,1.11
Czech Republic,1.11
Hong Kong,1.11
Indonesia,1.11
Panama,1.11
Poland,1.11
Syria,1.11
