Cereal Production Scenario in the AMIS Pilot Districts 
Fiscal Year: 2009‐2010

Production in Metric Ton
Yield in Kg/Ht
Area in Hectare
Source: http://namis.gov.np/downloadfile/Agri_Data_2010_11_1420545043.pdf

S. No.,DISTRICT,Paddy,,,Maize,,,Millet,,,Wheat,,,Barley,,,
"",,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yiel
1,Jhapa,82400,271920,3300,24600,62310,2533,1800,2160,1200,11500,24150,2100,9,7,778
2,Sankhuwashava,15417,29816,1934,14165,28259,1995,9975,9875,990,1400,2800,2000,35,26,743
3,Dhankuta,9412,21957,2333,17779,39736,2235,8000,8080,1010,1498,3296,2200,10,10,1000
4,Morang,78200,258060,3300,16100,45300,2814,1430,1716,1200,22200,52500,2365,0,0,0
5,Sunsari,53791,155994,2900,8500,23250,2735,1200,1200,1000,18500,46250,2500,0,0,0
6,Saptari,37691,116842,3100,4000,8000,2000,250,250,1000,20000,48000,2400,0,0,0
7,Siraha,45570,95697,2100,1800,3600,2000,700,700,1000,17500,31350,1791,0,0,0
8,Dolakha,3133,6304,2012,5387,12336,2290,3555,4094,1152,4400,5105,1160,231,230,996
9,Mahottari,34776,78440,2256,1935,4050,2093,232,232,1000,21540,45250,2101,50,50,1000
10,Kavre,11350,32915,2900,24279,56096,2310,3505,3550,1013,9995,21001,2101,750,750,1000
11,Dhading,16670,40882,2452,17468,43670,2500,7140,7160,1003,4680,7914,1691,350,350,1000
12,Bara,52725,168720,3200,7500,21000,2800,78,85,1090,29000,96900,3341,68,66,971
13,Chitwan,32770,110944,3386,20660,52463,2539,1810,1868,1032,8728,26533,3040,61,61,1000
14,Kaski,23000,66700,2900,20800,52000,2500,16640,17568,1056,7000,14200,2029,129,109,845
15,Palpa,9561,25210,2637,21563,42417,1967,2580,2920,1132,6235,13425,2153,30,38,1267
16,Rupandehi,71500,278850,3900,2500,7240,2896,100,100,1000,30500,105900,3472,30,30,1000
17,Mustang,0,0,,525,810,1543,0,0,,601,1081,1799,270,475,1759
18,Jumla,2750,4920,1789,4550,7280,1600,3950,4345,1100,2300,2530,1100,4900,4410,900
19,Rukum,3750,11288,3010,18650,41030,2200,960,979,1020,11800,27140,2300,925,1203,1301
20,Dang,38500,115962,3012,25200,55062,2185,150,150,1000,12750,29000,2275,30,25,833
21,Surkhet,13870,47435,3420,16100,41538,2580,2095,2703,1290,16255,45000,2768,1030,1330,1291
22,Banke,36500,119720,3280,8660,18446,2130,0,0,0,17913,38154,2130,10,10,1000
23,Doti,7570,18000,2378,2545,4193,1648,4953,5353,1081,16150,28000,1734,250,250,1000
24,Kailali,60000,174000,2900,16500,28500,1727,300,310,1033,34500,69000,2000,550,660,1200
