गोलभेडा ठूलो ,के.जी.,७५,८०,७८
गोलभेडा सानो,के.जी.,४५,५०,४८
अालु रातो,के.जी.,३३,३५,३४
अालु सेतो,के.जी.,३०,३३,३१
प्याज सुकेको,के.जी.,६६,६८,६७
गाजर,के.जी.,९५,१००,९८
बन्दा,के.जी.,५०,५५,५२
काउली स्थानिय,के.जी.,४५,५०,४८
मूला सेतो,के.जी.,२५,३०,२८
भन्टा लाम्चो,के.जी.,३५,४०,३८
भन्टा डल्लो,के.जी.,३५,४०,३८
बोडी,के.जी.,७५,८०,७८
मटरकोशा,के.जी.,९०,९५,९२
घिउ सिमी,के.जी.,६५,७०,६८
तितो करेला,के.जी.,५५,६०,५८
लौका,के.जी.,३५,४०,३८
परवर,के.जी.,५५,६०,५८
फर्सी पाकेको,के.जी.,२०,२५,२२
फर्सी हरियो,के.जी.,३५,४०,३८
भिण्डी,के.जी.,९५,१००,९८
बरेला,के.जी.,४०,४५,४२
पिंडालू,के.जी.,४५,५०,४८
स्कूस,के.जी.,१८,२०,१९
रायो साग,के.जी.,४५,५०,४८
पालूगो साग,के.जी.,८०,८५,८३
चमसूरको साग,के.जी.,८०,८५,८३
तोरीको साग,के.जी.,५०,५५,५३
मेथीको साग,के.जी.,८०,८५,८३
प्याज हरियो,के.जी.,१००,११०,१०५
बकूला,के.जी.,१००,११०,१०५
तरुल,के.जी.,४५,५०,४८
च्याउ,के.जी.,१५०,१६०,१५५
ब्रोकाउली,के.जी.,८०,९०,८५
चुकुन्दर,के.जी.,७०,८०,७५
जिरीको साग,के.जी.,८०,८५,८३
सेलरी,के.जी.,१००,११०,१०५
पार्सले,के.जी.,१००,११०,१०५
सौफको साग,के.जी.,८०,८५,८३
पुदीना,के.जी.,१००,११०,१०५
गान्टे मूला,के.जी.,६०,७०,६५
इमली,के.जी.,११०,१२०,११५
तामा,के.जी.,१२०,१३०,१२५
तोफु,के.जी.,७०,८०,७५
गुन्दुक,के.जी.,१५०,१६०,१५५
स्याउ,के.जी.,९०,१००,९५
केरा,दर्जन,५०,५५,५३
कागती,१०० गोटा,५००,५५०,५२५
अनार,के.जी.,१५०,१६०,१५५
सुन्तला,के.जी.,७५,८०,७८
तरबुजा,के.जी.,५०,५५,५३
मौसम,के.जी.,८०,९०,८५
भुर्इ कटहर,प्रति गोटा,१००,११०,१०५
काक्रो,के.जी.,३०,३५,३३
नासपाती,के.जी.,९०,१००,९५
मेवा,के.जी.,७०,८०,७५
लप्सी,के.जी.,३५,४०,३८
अदुवा,के.जी.,५०,५५,५२
खु्र्सानी सुकेको,के.जी.,१९०,२००,१९५
खु्र्सानी हरियो,के.जी.,५५,६०,५८
भेडे खु्र्सानी,के.जी.,६०,६५,६२
लसुन हरियो,के.जी.,१३०,१४०,१३५
हरियो धनिया,के.जी.,२५०,२६०,२५५
लसुन सुकेको चाइनिज,के.जी.,१४०,१५०,१४५
लसुन सुकेको नेपाली,के.जी.,१७०,१८०,१७५
छ्यापी सुकेको,के.जी.,१७०,१८०,१७५
माछा ताजा,के.जी.,२४०,२५०,२४५
